Company,RAM,Storage,Battery,Price
5,4,64,3900,7958.0
1,4,256,5100,31002.0
1,8,256,7300,31646.0
3,6,128,6200,14644.0
2,6,256,7500,24350.0
8,4,128,3000,10280.0
8,8,256,4300,18586.0
2,6,256,5300,24306.0
3,6,256,3600,22272.0
6,8,256,5900,19618.0
6,6,128,3800,11596.0
3,6,256,6300,22326.0
8,4,128,3100,10282.0
4,8,64,4300,9066.0
8,6,256,7600,18352.0
5,6,64,6100,8302.0
7,4,64,4300,6966.0
3,8,256,3200,22564.0
1,8,256,3500,31570.0
4,6,128,4100,12602.0
4,4,128,7600,12372.0
5,4,128,4100,11802.0
8,8,128,4000,10900.0
6,6,128,6600,11652.0
7,8,64,4500,7570.0
8,8,128,3700,10894.0
2,6,256,6000,24320.0
1,4,256,6300,31026.0
3,4,64,4900,10478.0
2,4,128,5500,16330.0
2,6,128,5700,16634.0
6,8,64,8000,8140.0
4,4,128,6300,12346.0
1,8,256,7900,31658.0
1,8,128,4300,23906.0
5,4,64,6300,8006.0
4,6,64,4600,8772.0
1,8,256,5200,31604.0
2,6,128,5100,16622.0
7,8,128,5000,11420.0
1,4,64,5800,19496.0
2,4,256,4700,23994.0
1,8,256,6500,31630.0
7,6,256,4500,18790.0
5,4,64,7800,8036.0
4,8,128,4400,12908.0
7,6,64,7900,7338.0
8,4,64,3900,6458.0
2,8,128,5000,16920.0
6,4,128,3300,11286.0
7,8,128,7800,11476.0
1,6,128,7200,23664.0
3,4,256,3200,21964.0
7,8,128,8000,11480.0
4,6,128,5600,12632.0
6,4,256,8000,19060.0
1,6,256,4100,31282.0
3,4,64,6500,10510.0
5,4,256,4900,19498.0
2,8,128,3700,16894.0
4,4,128,6800,12356.0
6,6,256,6000,19320.0
5,4,256,6400,19528.0
3,6,256,3200,22264.0
8,4,128,6900,10358.0
6,6,256,3700,19274.0
2,8,64,5300,13086.0
6,6,64,6700,7814.0
6,4,256,4300,18986.0
8,4,256,6400,18028.0
3,6,256,6900,22338.0
8,8,256,4700,18594.0
6,8,256,4400,19588.0
1,6,256,3700,31274.0
7,8,64,3100,7542.0
7,6,128,6400,11148.0
1,8,64,7900,20138.0
2,4,256,3600,23972.0
1,8,64,7900,20138.0
6,8,256,3700,19574.0
3,6,128,5200,14624.0
8,4,64,6400,6508.0
5,4,256,4600,19492.0
4,6,128,3900,12598.0
2,8,128,5500,16930.0
2,6,64,4900,12778.0
4,4,256,6800,20036.0
6,8,256,5900,19618.0
3,8,64,7700,11134.0
3,8,128,6100,14942.0
3,8,128,3600,14892.0
8,8,256,5500,18610.0
8,4,64,3000,6440.0
7,8,256,7400,19148.0
3,8,64,7200,11124.0
4,6,128,5000,12620.0
7,6,128,6600,11152.0
7,6,64,7400,7328.0
8,8,128,3800,10896.0
1,8,64,6700,20114.0
3,6,128,7200,14664.0
5,8,64,6900,8618.0
1,8,256,3800,31576.0
1,6,256,7300,31346.0
7,8,128,5400,11428.0
8,6,64,7000,6820.0
1,6,256,3700,31274.0
5,8,128,6600,12452.0
2,6,256,3700,24274.0
5,4,64,4300,7966.0
3,6,256,3000,22260.0
3,8,64,6700,11114.0
8,6,64,6800,6816.0
7,6,256,7100,18842.0
7,4,256,5300,18506.0
3,8,128,7600,14972.0
7,4,128,8000,10880.0
7,4,128,4900,10818.0
7,6,128,4600,11112.0
6,6,64,4500,7770.0
6,8,64,5900,8098.0
3,8,128,4600,14912.0
6,6,128,7700,11674.0
4,6,256,6400,20328.0
1,4,128,6300,23346.0
4,6,64,6800,8816.0
7,6,128,4900,11118.0
1,4,128,6900,23358.0
6,8,256,7400,19648.0
7,6,64,4500,7270.0
2,6,64,6800,12816.0
2,4,256,5200,24004.0
3,8,128,6800,14956.0
8,6,256,3400,18268.0
4,4,128,4400,12308.0
4,4,64,6600,8512.0
7,4,128,4600,10812.0
2,6,256,5200,24304.0
6,6,64,5500,7790.0
8,4,64,7600,6532.0
6,4,128,7700,11374.0
8,6,256,4300,18286.0
1,4,128,5800,23336.0
8,6,256,6000,18320.0
5,6,256,3500,19770.0
7,4,64,8000,7040.0
3,6,256,7200,22344.0
7,4,256,6600,18532.0
5,8,256,3200,20064.0
8,6,64,5000,6780.0
8,4,256,4600,17992.0
6,8,128,3400,11888.0
6,4,128,4100,11302.0
6,6,64,5200,7784.0
6,6,256,4100,19282.0
1,6,256,6200,31324.0
6,8,64,4200,8064.0
4,6,64,4100,8762.0
5,6,128,6900,12158.0
2,6,128,7800,16676.0
5,6,256,4700,19794.0
5,4,64,3100,7942.0
2,8,64,4200,13064.0
8,8,256,3800,18576.0
7,6,128,5300,11126.0
5,8,256,3500,20070.0
3,4,64,7600,10532.0
1,6,64,6800,19816.0
3,8,128,8000,14980.0
7,6,128,7700,11174.0
1,4,256,6900,31038.0
1,4,128,6600,23352.0
4,4,256,7800,20056.0
2,8,128,4500,16910.0
1,6,64,8000,19840.0
3,6,128,6600,14652.0
3,4,256,3900,21978.0
5,6,128,3200,12084.0
3,6,128,6000,14640.0
5,8,256,3700,20074.0
4,6,128,6500,12650.0
6,8,128,7700,11974.0
4,8,64,8000,9140.0
8,4,256,6000,18020.0
4,6,128,4900,12618.0
2,4,64,4000,12460.0
4,4,64,5900,8498.0
7,6,256,6700,18834.0
3,6,256,4600,22292.0
5,6,256,4900,19798.0
6,6,256,7100,19342.0
4,4,128,6700,12354.0
3,6,128,3600,14592.0
2,6,64,5400,12788.0
3,8,128,6000,14940.0
2,4,256,4600,23992.0
3,8,64,4800,11076.0
5,6,256,6700,19834.0
4,8,256,3500,20570.0
8,8,256,3100,18562.0
7,4,256,3800,18476.0
3,6,64,5200,10784.0
8,8,128,5600,10932.0
1,6,128,3500,23590.0
8,6,128,7000,10660.0
6,4,256,5400,19008.0
5,4,128,6900,11858.0
5,8,128,7600,12472.0
4,8,128,6100,12942.0
6,6,64,5700,7794.0
5,6,256,3000,19760.0
3,6,256,5300,22306.0
1,4,256,3200,30964.0
7,4,256,4100,18482.0
4,4,128,3800,12296.0
7,8,128,6900,11458.0
3,8,256,3200,22564.0
1,6,64,5500,19790.0
5,6,128,4400,12108.0
2,8,128,7100,16962.0
6,8,64,6900,8118.0
3,4,256,8000,22060.0
5,4,64,7300,8026.0
1,6,128,4100,23602.0
5,6,64,3400,8248.0
5,4,256,5500,19510.0
5,8,128,3800,12396.0
4,4,256,3500,19970.0
7,4,128,7100,10862.0
3,4,64,7200,10524.0
8,4,64,3700,6454.0
2,8,64,6500,13110.0
7,4,256,7600,18552.0
2,4,256,3300,23966.0
1,4,256,5700,31014.0
7,4,256,4400,18488.0
2,4,128,8000,16380.0
3,6,128,3300,14586.0
4,6,128,7100,12662.0
4,4,64,5100,8482.0
5,4,128,3200,11784.0
7,8,64,3600,7552.0
7,8,128,6800,11456.0
1,6,256,4800,31296.0
3,8,256,7800,22656.0
5,4,128,7500,11870.0
3,6,64,5200,10784.0
5,6,256,6500,19830.0
7,6,64,4900,7278.0
1,6,256,7900,31358.0
4,8,256,7000,20640.0
3,8,256,6900,22638.0
5,8,64,5800,8596.0
2,8,128,4000,16900.0
4,6,64,6600,8812.0
7,6,128,3100,11082.0
5,4,256,6200,19524.0
2,8,256,7800,24656.0
5,4,256,6300,19526.0
6,6,256,4000,19280.0
1,4,128,7600,23372.0
3,4,128,6100,14342.0
1,4,64,6500,19510.0
4,6,128,6300,12646.0
2,6,64,3400,12748.0
8,4,128,6300,10346.0
8,4,128,4300,10306.0
7,4,64,6300,7006.0
4,8,64,7500,9130.0
3,6,128,5600,14632.0
4,8,64,3500,9050.0
8,4,256,6800,18036.0
2,4,256,6100,24022.0
4,4,256,4300,19986.0
2,6,256,6800,24336.0
6,4,64,6600,7512.0
7,8,64,6700,7614.0
7,4,256,7600,18552.0
3,6,256,7400,22348.0
8,6,128,4000,10600.0
6,4,128,6900,11358.0
6,6,256,6900,19338.0
7,4,64,5100,6982.0
4,6,64,7500,8830.0
5,6,256,4000,19780.0
5,4,64,5800,7996.0
8,4,128,5900,10338.0
7,6,64,8000,7340.0
4,8,128,7900,12978.0
6,4,64,3700,7454.0
2,4,128,3700,16294.0
8,8,64,7700,7134.0
8,8,128,4500,10910.0
2,6,128,5300,16626.0
2,4,128,4400,16308.0
6,8,64,7500,8130.0
3,4,128,7800,14376.0
3,6,256,7500,22350.0
4,6,64,5700,8794.0
6,4,64,6500,7510.0
3,6,64,5100,10782.0
7,8,128,6200,11444.0
6,6,64,7200,7824.0
1,8,64,6600,20112.0
5,4,128,4800,11816.0
3,8,64,7900,11138.0
8,6,128,3600,10592.0
3,6,128,5100,14622.0
4,8,64,7300,9126.0
5,6,128,3600,12092.0
2,8,256,5000,24600.0
3,8,256,7000,22640.0
7,4,128,6000,10840.0
5,6,64,5000,8280.0
1,6,128,5500,23630.0
5,6,128,6700,12154.0
1,8,64,7600,20132.0
5,4,256,6700,19534.0
2,8,128,7000,16960.0
8,8,256,4700,18594.0
1,4,64,4600,19472.0
7,6,256,3300,18766.0
4,6,64,6100,8802.0
4,8,256,3200,20564.0
3,6,256,3000,22260.0
4,6,128,4000,12600.0
2,8,128,3500,16890.0
7,6,64,7300,7326.0
3,4,128,3900,14298.0
5,4,64,5900,7998.0
7,8,256,5200,19104.0
5,8,64,4600,8572.0
8,6,256,6300,18326.0
2,4,64,7900,12538.0
1,4,256,8000,31060.0
3,4,128,3100,14282.0
7,6,128,6400,11148.0
8,8,64,7200,7124.0
4,4,64,6600,8512.0
7,6,256,4600,18792.0
4,4,64,4300,8466.0
2,4,128,7500,16370.0
2,4,64,5200,12484.0
4,8,64,4100,9062.0
7,4,256,4700,18494.0
2,8,64,7300,13126.0
4,4,64,6000,8500.0
4,8,256,6300,20626.0
8,6,256,3900,18278.0
5,4,256,3200,19464.0
3,8,256,4100,22582.0
6,4,64,4800,7476.0
1,6,256,7600,31352.0
5,4,64,4200,7964.0
2,4,128,3800,16296.0
4,8,256,3600,20572.0
2,6,64,5600,12792.0
6,6,256,7300,19346.0
8,8,64,7900,7138.0
2,6,64,5700,12794.0
4,6,128,3500,12590.0
6,4,128,6800,11356.0
8,4,256,7800,18056.0
3,6,128,7900,14678.0
6,8,256,5700,19614.0
4,4,64,4400,8468.0
7,8,64,3700,7554.0
4,6,256,6100,20322.0
8,6,128,6000,10640.0
7,4,64,7000,7020.0
6,6,64,3900,7758.0
7,8,256,7900,19158.0
7,6,64,7200,7324.0
2,8,128,3200,16884.0
5,8,256,5000,20100.0
4,6,256,7300,20346.0
4,6,64,5600,8792.0
7,8,64,4600,7572.0
1,8,64,6500,20110.0
6,8,256,6600,19632.0
1,4,128,5600,23332.0
5,4,128,6600,11852.0
2,4,64,7600,12532.0
7,8,128,5300,11426.0
5,6,128,6300,12146.0
1,4,64,7800,19536.0
5,4,256,4800,19496.0
5,8,256,3500,20070.0
7,6,64,3000,7240.0
3,8,64,4100,11062.0
8,6,256,4000,18280.0
3,4,256,7200,22044.0
6,8,128,3800,11896.0
1,6,128,6600,23652.0
6,4,64,5900,7498.0
4,6,256,5800,20316.0
3,6,256,5700,22314.0
5,4,256,7300,19546.0
5,6,256,6300,19826.0
3,6,256,5200,22304.0
6,8,128,5200,11924.0
2,6,128,5800,16636.0
5,6,256,6300,19826.0
1,8,128,4100,23902.0
2,4,256,7000,24040.0
5,8,256,5100,20102.0
6,8,256,3400,19568.0
6,6,128,3300,11586.0
8,4,64,7300,6526.0
8,6,128,3200,10584.0
2,8,64,6200,13104.0
8,4,64,7600,6532.0
3,8,64,7300,11126.0
1,4,64,6400,19508.0
1,8,128,4600,23912.0
6,4,64,4900,7478.0
6,8,64,4800,8076.0
4,6,256,5900,20318.0
4,6,64,6800,8816.0
5,6,64,7200,8324.0
3,8,64,3000,11040.0
6,8,128,7900,11978.0
2,8,128,7400,16968.0
1,8,128,8000,23980.0
3,6,64,3800,10756.0
6,8,128,7400,11968.0
4,8,256,3900,20578.0
6,4,128,5700,11334.0
1,8,64,3700,20054.0
4,4,128,5500,12330.0
6,6,128,3700,11594.0
3,4,128,5900,14338.0
4,6,128,6900,12658.0
3,8,64,5600,11092.0
1,8,256,6400,31628.0
8,4,64,3800,6456.0
3,6,256,6800,22336.0
3,4,256,3800,21976.0
4,4,64,3000,8440.0
1,6,128,3700,23594.0
6,6,256,4000,19280.0
8,6,64,5100,6782.0
2,6,128,4800,16616.0
7,8,256,4700,19094.0
4,8,256,4800,20596.0
5,8,64,3900,8558.0
5,4,256,4600,19492.0
3,6,128,7900,14678.0
3,6,256,7500,22350.0
3,4,256,7800,22056.0
6,8,256,5400,19608.0
5,8,64,5100,8582.0
2,8,256,7100,24642.0
1,8,128,3100,23882.0
6,4,64,7500,7530.0
1,6,128,5400,23628.0
3,8,128,7100,14962.0
3,8,64,5300,11086.0
4,8,128,6200,12944.0
2,4,64,7800,12536.0
6,4,64,6300,7506.0
2,6,256,4300,24286.0
2,4,64,5200,12484.0
6,8,64,7400,8128.0
3,4,64,7600,10532.0
6,4,128,7100,11362.0
7,4,64,3300,6946.0
2,8,256,6000,24620.0
5,4,64,4800,7976.0
8,4,64,4700,6474.0
2,4,128,5200,16324.0
2,6,128,3300,16586.0
5,6,64,7500,8330.0
3,4,64,5800,10496.0
8,6,256,7000,18340.0
8,4,256,4000,17980.0
8,6,128,3800,10596.0
4,4,128,5600,12332.0
1,6,128,3100,23582.0
3,8,64,3900,11058.0
8,4,256,6500,18030.0
6,4,128,5200,11324.0
6,8,128,5300,11926.0
2,8,64,7900,13138.0
1,4,64,4600,19472.0
8,6,64,3100,6742.0
5,4,128,5300,11826.0
5,6,64,6300,8306.0
7,8,256,3300,19066.0
3,4,128,7700,14374.0
1,8,64,7300,20126.0
6,4,256,3500,18970.0
2,4,128,7800,16376.0
4,8,64,3100,9042.0
3,6,64,5800,10796.0
2,8,256,6900,24638.0
3,6,256,5500,22310.0
5,4,64,5400,7988.0
4,4,128,3200,12284.0
5,8,256,5800,20116.0
4,8,256,3000,20560.0
2,8,64,7700,13134.0
8,8,256,4500,18590.0
5,4,256,6300,19526.0
4,4,128,4900,12318.0
6,6,256,4300,19286.0
2,6,256,7600,24352.0
2,4,64,5000,12480.0
5,4,256,6300,19526.0
8,8,64,7700,7134.0
7,4,128,4800,10816.0
6,4,64,6600,7512.0
7,4,64,6500,7010.0
5,6,128,6200,12144.0
5,8,128,4800,12416.0
6,6,128,7400,11668.0
7,6,64,5100,7282.0
2,6,64,4700,12774.0
7,6,256,4300,18786.0
8,6,64,5800,6796.0
1,4,128,3900,23298.0
5,4,128,4700,11814.0
7,8,256,7700,19154.0
7,8,256,4900,19098.0
4,4,128,3100,12282.0
2,8,64,7400,13128.0
5,8,128,5100,12422.0
1,4,256,5900,31018.0
1,6,64,3700,19754.0
4,6,64,3600,8752.0
6,4,64,3800,7456.0
6,4,256,7300,19046.0
7,4,128,4100,10802.0
1,8,256,5900,31618.0
4,8,128,5400,12928.0
1,6,256,5100,31302.0
4,4,256,6400,20028.0
5,6,256,7600,19852.0
5,6,64,7000,8320.0
1,6,64,5500,19790.0
1,4,64,3300,19446.0
3,6,256,5400,22308.0
1,4,64,3500,19450.0
8,4,128,3200,10284.0
7,4,256,4800,18496.0
1,6,64,5500,19790.0
4,6,64,3200,8744.0
8,8,64,3800,7056.0
4,4,128,6900,12358.0
5,4,128,5400,11828.0
6,6,64,7100,7822.0
6,4,64,5000,7480.0
1,6,256,4700,31294.0
6,4,256,4800,18996.0
7,6,128,3600,11092.0
5,4,256,5100,19502.0
1,6,64,5100,19782.0
5,6,128,4700,12114.0
1,8,256,6100,31622.0
2,4,64,7800,12536.0
3,6,64,6700,10814.0
3,6,256,5000,22300.0
8,6,256,6400,18328.0
3,6,128,3200,14584.0
7,6,256,5600,18812.0
7,8,128,7900,11478.0
7,8,128,6400,11448.0
3,4,64,6600,10512.0
3,4,256,7500,22050.0
5,8,64,5700,8594.0
1,6,64,7900,19838.0
7,4,128,7900,10878.0
3,6,64,3700,10754.0
1,6,64,7400,19828.0
3,6,128,6700,14654.0
6,8,256,6800,19636.0
2,6,256,5600,24312.0
1,8,128,7100,23962.0
5,6,64,5900,8298.0
2,6,256,5000,24300.0
3,4,256,4500,21990.0
4,6,64,6800,8816.0
1,6,128,7100,23662.0
5,4,128,6000,11840.0
8,4,64,4700,6474.0
2,6,128,5700,16634.0
5,8,256,5800,20116.0
7,8,64,3700,7554.0
3,8,64,4600,11072.0
2,4,128,6700,16354.0
1,8,64,6700,20114.0
7,4,64,5500,6990.0
4,4,128,4100,12302.0
3,4,64,6000,10500.0
6,4,64,5000,7480.0
6,4,256,7700,19054.0
3,4,256,3700,21974.0
8,8,128,5600,10932.0
2,6,64,4100,12762.0
8,6,64,7600,6832.0
3,8,128,5900,14938.0
5,6,128,5900,12138.0
5,6,128,3400,12088.0
4,6,256,5600,20312.0
6,8,128,5300,11926.0
8,4,64,3200,6444.0
5,6,64,7700,8334.0
1,8,64,7100,20122.0
1,8,64,7800,20136.0
2,6,256,6300,24326.0
3,6,128,4500,14610.0
7,4,256,4900,18498.0
1,6,128,6500,23650.0
8,4,128,7600,10372.0
8,8,256,5500,18610.0
4,4,64,5200,8484.0
7,4,256,7200,18544.0
3,8,64,5100,11082.0
1,8,256,5400,31608.0
4,4,64,7500,8530.0
7,6,128,3100,11082.0
6,8,128,6900,11958.0
3,4,64,3600,10452.0
1,6,64,3800,19756.0
7,8,128,4200,11404.0
6,6,256,3800,19276.0
5,4,128,4600,11812.0
5,8,128,5900,12438.0
1,6,128,3800,23596.0
8,4,256,6200,18024.0
8,6,128,3300,10586.0
1,8,256,3800,31576.0
6,8,256,7900,19658.0
8,8,128,7800,10976.0
3,8,256,3100,22562.0
1,8,128,3300,23886.0
1,4,256,4900,30998.0
4,8,128,4900,12918.0
1,8,64,4300,20066.0
6,4,256,6500,19030.0
1,6,64,3500,19750.0
2,4,128,7300,16366.0
3,4,128,7000,14360.0
6,8,64,5300,8086.0
3,4,256,4500,21990.0
7,4,64,7800,7036.0
8,4,128,5200,10324.0
1,6,64,7800,19836.0
3,8,64,7400,11128.0
5,4,256,3500,19470.0
6,8,128,3800,11896.0
5,4,64,7500,8030.0
5,8,64,3400,8548.0
1,6,128,4500,23610.0
8,4,128,6600,10352.0
6,8,64,4800,8076.0
1,4,64,7900,19538.0
8,8,64,5500,7090.0
6,6,128,3900,11598.0
2,8,128,4800,16916.0
5,4,64,7400,8028.0
8,6,128,5500,10630.0
4,8,256,7400,20648.0
6,6,256,8000,19360.0
7,6,256,5600,18812.0
8,8,128,4500,10910.0
7,8,64,5700,7594.0
3,4,64,6400,10508.0
5,8,256,4700,20094.0
2,6,128,4200,16604.0
5,4,64,6300,8006.0
3,6,256,3300,22266.0
8,4,64,3500,6450.0
8,8,128,3700,10894.0
7,4,64,4800,6976.0
1,6,128,7800,23676.0
2,8,128,6400,16948.0
4,4,128,7200,12364.0
1,4,128,3100,23282.0
8,6,256,4100,18282.0
3,4,256,3300,21966.0
5,4,128,3900,11798.0
6,4,128,3100,11282.0
8,6,128,4800,10616.0
2,6,256,6600,24332.0
1,6,64,3000,19740.0
3,4,256,4800,21996.0
6,4,256,5500,19010.0
6,8,128,4200,11904.0
8,8,64,6200,7104.0
8,4,128,7500,10370.0
4,4,64,4200,8464.0
2,4,64,5000,12480.0
7,8,128,6800,11456.0
4,6,64,5600,8792.0
4,6,256,7700,20354.0
1,4,256,4800,30996.0
8,4,128,4200,10304.0
4,8,128,3800,12896.0
4,8,64,5300,9086.0
4,6,64,4500,8770.0
5,8,256,4000,20080.0
5,8,64,4700,8574.0
6,8,64,6900,8118.0
4,6,256,6100,20322.0
4,4,64,3600,8452.0
1,8,256,5700,31614.0
8,6,128,4300,10606.0
7,4,128,4000,10800.0
5,8,64,3100,8542.0
3,6,128,3800,14596.0
4,4,64,4600,8472.0
8,6,128,5900,10638.0
6,8,128,5600,11932.0
6,4,64,6700,7514.0
5,4,128,4500,11810.0
8,8,128,5400,10928.0
2,8,128,6000,16940.0
3,8,128,5300,14926.0
3,6,64,5000,10780.0
7,4,256,7400,18548.0
6,4,64,3900,7458.0
6,8,128,7600,11972.0
2,8,64,7500,13130.0
7,4,128,7500,10870.0
1,4,128,5900,23338.0
1,8,64,7100,20122.0
5,6,64,4100,8262.0
8,8,128,3400,10888.0
2,8,256,4700,24594.0
5,8,256,4100,20082.0
2,8,128,5200,16924.0
3,6,256,4800,22296.0
3,4,256,6800,22036.0
2,6,64,4600,12772.0
6,8,128,7400,11968.0
8,8,64,3500,7050.0
8,8,128,8000,10980.0
4,6,128,5900,12638.0
1,4,64,5000,19480.0
7,4,64,8000,7040.0
7,4,128,7600,10872.0
7,4,128,6200,10844.0
3,4,128,7700,14374.0
4,4,64,5600,8492.0
3,6,256,4600,22292.0
5,4,64,3000,7940.0
5,4,128,5200,11824.0
1,4,256,7300,31046.0
8,6,256,7200,18344.0
1,8,128,3000,23880.0
8,8,256,4000,18580.0
6,6,128,3400,11588.0
1,6,256,5500,31310.0
5,4,64,5900,7998.0
1,4,256,4400,30988.0
6,6,256,7100,19342.0
3,6,128,6900,14658.0
8,6,64,4800,6776.0
6,6,256,6100,19322.0
6,6,128,3800,11596.0
7,8,256,5000,19100.0
6,8,128,7300,11966.0
4,8,256,5100,20602.0
3,4,64,6500,10510.0
2,8,128,4500,16910.0
6,6,64,6200,7804.0
4,6,64,6800,8816.0
7,6,128,7300,11166.0
8,8,64,4100,7062.0
5,6,64,4300,8266.0
2,4,64,5000,12480.0
3,8,128,4900,14918.0
6,8,256,6300,19626.0
6,8,256,6200,19624.0
2,4,64,5500,12490.0
3,6,128,6600,14652.0
8,4,64,7700,6534.0
5,6,128,4400,12108.0
8,6,256,5600,18312.0
6,6,64,7900,7838.0
7,8,128,4100,11402.0
3,4,64,4900,10478.0
3,6,256,7300,22346.0
6,8,256,6800,19636.0
7,4,64,3300,6946.0
1,6,256,7400,31348.0
5,6,256,5600,19812.0
7,4,128,5000,10820.0
7,8,128,4600,11412.0
3,6,128,6100,14642.0
7,8,256,6500,19130.0
4,4,256,8000,20060.0
8,6,256,7900,18358.0
6,6,256,4700,19294.0
2,8,256,5000,24600.0
6,8,256,6500,19630.0
8,4,256,6200,18024.0
2,4,64,3600,12452.0
1,6,128,5900,23638.0
8,8,256,5600,18612.0
7,8,64,5000,7580.0
6,8,256,3100,19562.0
7,6,256,4900,18798.0
5,4,256,5800,19516.0
3,4,64,7600,10532.0
6,8,256,4900,19598.0
1,6,256,3800,31276.0
3,4,64,7300,10526.0
6,6,128,4500,11610.0
7,4,128,5100,10822.0
6,6,64,7200,7824.0
7,6,64,7000,7320.0
6,4,128,3900,11298.0
2,6,128,4400,16608.0
5,8,64,5600,8592.0
4,8,128,3300,12886.0
6,8,64,7800,8136.0
4,8,64,4100,9062.0
7,6,64,3800,7256.0
3,4,256,3300,21966.0
7,8,128,3100,11382.0
1,8,256,3300,31566.0
2,8,64,5000,13080.0
6,6,64,8000,7840.0
6,4,256,6000,19020.0
6,8,256,3700,19574.0
5,8,256,6300,20126.0
2,6,128,7300,16666.0
3,4,64,5800,10496.0
4,4,256,6300,20026.0
3,6,256,4100,22282.0
1,4,256,5400,31008.0
2,4,64,7700,12534.0
4,6,256,4700,20294.0
7,4,128,7500,10870.0
5,4,256,5100,19502.0
7,6,128,4300,11106.0
2,8,64,5800,13096.0
1,6,256,7000,31340.0
5,6,64,4500,8270.0
2,6,128,3800,16596.0
5,6,256,4700,19794.0
1,8,64,6500,20110.0
3,6,64,3900,10758.0
8,6,128,4300,10606.0
1,6,128,7800,23676.0
7,4,64,7300,7026.0
3,8,128,7300,14966.0
2,4,256,3200,23964.0
7,8,256,5200,19104.0
4,8,64,7000,9120.0
5,4,64,4700,7974.0
7,6,128,3500,11090.0
5,8,128,6000,12440.0
6,8,128,6600,11952.0
2,6,128,5500,16630.0
4,4,64,5100,8482.0
1,4,64,4500,19470.0
2,8,64,6500,13110.0
3,8,64,7500,11130.0
4,4,64,6300,8506.0
5,6,128,7700,12174.0
5,6,128,4000,12100.0
5,8,128,6800,12456.0
3,8,64,6200,11104.0
4,8,256,3700,20574.0
2,6,128,7400,16668.0
4,4,256,6700,20034.0
5,8,64,4900,8578.0
4,4,256,5100,20002.0
7,6,128,3200,11084.0
8,4,128,7600,10372.0
1,8,128,5600,23932.0
7,4,256,6200,18524.0
2,6,64,4000,12760.0
1,6,256,6100,31322.0
8,4,64,7900,6538.0
7,4,256,5100,18502.0
7,6,128,5000,11120.0
3,6,256,6400,22328.0
8,6,128,8000,10680.0
